verdict,tier,company,title,location,url,source,ats,id,pay,pay_junk,benchmark,family,timing,intern_kind,watchlist,agency,oem,score,fit_pos,fit_neg,fit_margin,cv_variant,reasons
keep,B,國泰金控 Cathay Financial Holdings,"數據維運工程師 Data Engineer -數據科技科(數數發中心, DDT)",臺北市,https://www.yourator.co/companies/Cathay-Financial-Holding/jobs/19728,yourator,sqlite,19728,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1568,0.0201,0.1367,ai,"pos=0.157,neg=0.020,margin=0.137"
keep,B,神農氏 SHENNONGSHI.AI,AI/Perception/Robotics Learning Engineer 人工智慧/感知/機器人機器學習工程師,臺北市,https://www.yourator.co/companies/shinfangglobal/jobs/48045,yourator,sqlite,48045,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",ml_research,ft,,0,0,0,85,0.1554,0.0196,0.1357,ai,"pos=0.155,neg=0.020,margin=0.136"
keep,B,瑞嘉軟體科技股份有限公司,【ML】Machine Learning Engineer / 機器學習工程師 (OB03),"內湖區, 台北市, 台灣",https://www.cake.me/companies/onelab/jobs/618679,cake,cake,618679,Monthly Salary TWD 62162~105746,0,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,,0,0,0,85,0.1506,0.0152,0.1355,ai,"pos=0.151,neg=0.015,margin=0.136"
keep,B,PChome Online 網路家庭,【技術】數據工程師 Data Engineer,臺北市,https://www.yourator.co/companies/PChome/jobs/40514,yourator,sqlite,40514,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1429,0.0106,0.1323,ai,"pos=0.143,neg=0.011,margin=0.132"
keep,B,國泰金控 Cathay Financial Holdings,"資料科學工程師（Python/Java/Scala 程式開發）- 資料科學研發科 (數數發中心, DDT)",臺北市,https://www.yourator.co/companies/Cathay-Financial-Holding/jobs/19757,yourator,sqlite,19757,面議（經常性薪資達4萬元）,0,market: no benchmark for this role family,data_science,ft,,0,0,0,85,0.1374,0.0106,0.1268,ai,"pos=0.137,neg=0.011,margin=0.127"
keep,B,工業技術研究院 (Industrial Technology Research Institute),Industry Analyst-Semiconductor Sector (ISTI),"新竹市, 新竹市, 台灣",https://www.cake.me/companies/itri-org/jobs/d53eecca-0593-47a3-bd68-979efa4c2b6d-industry-analyst-semiconductor-s-a34b752035d01923acfe21dbfa9e10,cake,sqlite,d53eecca-0593-47a3-bd68-979efa4c2b6d-industry-analyst-semiconductor-s-a34b752035d01923acfe21dbfa9e10,Monthly Salary TWD 0~0,1,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,-5,0.1846,0.0587,0.1259,en,"pos=0.185,neg=0.059,margin=0.126,junk_pay"
keep,B,神農氏 SHENNONGSHI.AI,Machine Learning Engineer - Robot Manipulation 機器學習工程師 - 機器人操控,臺北市,https://www.yourator.co/companies/shinfangglobal/jobs/34043,yourator,sqlite,34043,面議（經常性薪資達4萬元）,0,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,,0,0,0,85,0.1524,0.0272,0.1252,ai,"pos=0.152,neg=0.027,margin=0.125"
keep,B,國泰金控 Cathay Financial Holdings,"資料科學工程師 ( K8s 平台產品開發 ) -資料科學研發科 (數數發中心, DDT)",臺北市,https://www.yourator.co/companies/Cathay-Financial-Holding/jobs/25207,yourator,sqlite,25207,面議（經常性薪資達4萬元）,0,market: no benchmark for this role family,data_science,ft,,0,0,0,85,0.1413,0.0229,0.1184,ai,"pos=0.141,neg=0.023,margin=0.118"
keep,B,國泰世紀產物保險股份有限公司,"【國泰集團】AI/數據應用分析師 Data&AI Solution Analyst – (數數發中心, DDT)","大安區, 台北市, 台灣",https://www.cake.me/companies/cathayins/jobs/773634,cake,cake,773634,not stated,0,"market: ~NT$60,000-90,000/month for analyst roles in Taipei",analyst,ft,,0,0,0,10,0.171,0.0528,0.1182,zh,"pos=0.171,neg=0.053,margin=0.118"
keep,B,國泰金控 Cathay Financial Holdings,"數據軟體工程師 Data Engineer -數據科技科(數數發中心, DDT)",臺北市,https://www.yourator.co/companies/Cathay-Financial-Holding/jobs/19808,yourator,sqlite,19808,面議（經常性薪資達4萬元）,0,"market: ~NT$80,000-120,000/month for software engineers in Taipei",data_eng,ft,,0,0,0,85,0.1568,0.0404,0.1164,ai,"pos=0.157,neg=0.040,margin=0.116"
keep,B,國泰金控 Cathay Financial Holdings,"資料科學工程師 ( 數據產品前端開發 ) - 資料科學研發科 (數數發中心, DDT)",臺北市,https://www.yourator.co/companies/Cathay-Financial-Holding/jobs/32782,yourator,sqlite,32782,面議（經常性薪資達4萬元）,0,market: no benchmark for this role family,data_science,ft,,0,0,0,85,0.1384,0.0225,0.1159,ai,"pos=0.138,neg=0.022,margin=0.116"
keep,B,AIFT,"Machine Learning Engineer, Vulcan",臺北市,https://www.yourator.co/companies/aift/jobs/46568,yourator,sqlite,46568,"NT$ 1,300,000 - 1,800,000 (年薪)",0,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,,0,0,0,85,0.1158,0,0.1158,ai,"pos=0.116,neg=0.000,margin=0.116"
keep,B,Gogolook,Machine Learning Engineer,Taipei,https://jobs.lever.co/Gogolook/53ccbfd0-9139-4ce6-be17-adb2497c518c,,lever,53ccbfd0-9139-4ce6-be17-adb2497c518c,not stated,0,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,ft,,1,0,0,85,0.1158,0,0.1158,ai,"pos=0.116,neg=0.000,margin=0.116"
keep,B,動力安全資訊股份有限公司 Dynasafe,[Data] 資料庫管理DBA工程師,臺北市,https://www.yourator.co/companies/dynasafe/jobs/24464,yourator,sqlite,24464,面議（經常性薪資達4萬元）,0,market: no benchmark for this role family,software,ft,,0,0,0,20,0.1311,0.0169,0.1141,zh,"pos=0.131,neg=0.017,margin=0.114"
