company,title,location,url,source,ats,id,pay,benchmark,family,timing,score,cv_variant
Appier,"Senior Machine Learning Scientist, Advertising Incrementality","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7364432,,greenhouse,7364432,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,later_senior,25,ai
Appier,"Senior Software Engineer, Backend Development","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/4869920,,greenhouse,4869920,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,"Senior Software Engineer, Backend Development (Ad Cloud Platform team)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7160226,,greenhouse,7160226,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,"Senior Software Engineer, Backend Development (BotBonnie)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/6568368,,greenhouse,6568368,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,"Senior Software Engineer, Backend Development (Playable Ads)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7267131,,greenhouse,7267131,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,"Senior Software Engineer, Backend Development (REC)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7731002,,greenhouse,7731002,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,"Senior Software Engineer, Backend Development(Ad Cloud  Serving Services)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/7033252,,greenhouse,7033252,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,"Senior Software Engineer, Data Backend (Ad Cloud)","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8203672,,greenhouse,8203672,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,later_senior,5,en
Appier,"Software Engineer Intern, Backend Development","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/6820898,,greenhouse,6820898,not stated,market: interns typically NT$200-250/hour or a fixed monthly stipend,software,now_intern,55,en
Appier,"Software Engineer Intern, Quality Assurance","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/6967119,,greenhouse,6967119,not stated,market: interns typically NT$200-250/hour or a fixed monthly stipend,software,now_intern,55,en
Appier,"Software Engineer, Ads Solutions","Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/8129487,,greenhouse,8129487,not stated,"market: ~NT$80,000-120,000/month for software engineers in Taipei",software,ft,5,en
Appier,Staff/Senior Machine Learning Scientist (Ad Cloud),"Taipei, Taiwan",https://job-boards.greenhouse.io/appier/jobs/6897205,,greenhouse,6897205,not stated,"market: ~NT$122,000/month entry ML engineer (NT$1.47M/yr)",ml_research,later_senior,25,ai
